"","pharm_id","name","state","county","call_made","survey_admin","notes","callback.notes","num_nonfunc","novax","callback","reached","waittime","shing_avail","shing_yes_txt","shing_no_txt","flu_avail","flu_yes_txt","flu_no_txt","hdflu_avail","hdflu_yes_txt","hdflu_no_txt","recommendation","waittime_sec","id","pharmtype","popestimate","FIPScode","age65plus_tot","prop_65plus","total_pop","total_white","median_income","FIPS code","nchs_code","region","pct_white","metro","inclusion"
"22",7026,"Fry's Pharmacy Dept.","AZ","Pima County","Y","Y","","",0,0,0,"Yes","1:14",1,NA,NA,1,NA,NA,1,NA,NA,NA,74,7026,"Chain",1047279,4019,212554,0.20295833,1027207,823616,53379,4019,3,"West",0.801801389593334,1,0
"23",8229,"Walgreen Drug Store","AZ","Pima County","Y","Y","","",0,0,0,"Yes","3:21",1,NA,NA,1,NA,NA,1,NA,NA,NA,201,8229,"Chain",1047279,4019,212554,0.20295833,1027207,823616,53379,4019,3,"West",0.801801389593334,1,0
"24",2372,"Walgreen Drug Store","AZ","Pima County","Y","Y","","",0,0,0,"Yes","2:29",1,NA,NA,1,NA,NA,1,NA,NA,NA,149,2372,"Chain",1047279,4019,212554,0.20295833,1027207,823616,53379,4019,3,"West",0.801801389593334,1,0
"25",971,"Wal-Mart Discount Pharmacy","AZ","Pima County","Y","N","5 min wait the first time; phone just kept ringing the second time","2x",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971,"Chain",1047279,4019,212554,0.20295833,1027207,823616,53379,4019,3,"West",0.801801389593334,1,3
"26",5204,"CVS/Pharmacy","AZ","Pima County","Y","Y","","",0,0,0,"Yes","4:00",1,NA,NA,1,NA,NA,1,NA,NA,NA,240,5204,"Chain",1047279,4019,212554,0.20295833,1027207,823616,53379,4019,3,"West",0.801801389593334,1,0
"27",4125,"Walgreen Drug Store","AZ","Pima County","Y","Y","","",0,0,0,"Yes","5:07",1,NA,NA,1,NA,NA,1,NA,NA,NA,307,4125,"Chain",1047279,4019,212554,0.20295833,1027207,823616,53379,4019,3,"West",0.801801389593334,1,0
"28",3692,"CVS/Pharmacy","AZ","Pima County","Y","Y","","",0,0,0,"Yes","4:56",1,NA,NA,1,NA,NA,1,NA,NA,NA,296,3692,"Chain",1047279,4019,212554,0.20295833,1027207,823616,53379,4019,3,"West",0.801801389593334,1,0
"29",5629,"Fry's Pharmacy Dept.","AZ","Pima County","Y","Y","no reg","",0,0,0,"Yes","1:04",1,NA,NA,0,NA,NA,1,NA,NA,NA,64,5629,"Chain",1047279,4019,212554,0.20295833,1027207,823616,53379,4019,3,"West",0.801801389593334,1,0
"30",6003,"Fry's Pharmacy Dept.","AZ","Pinal County","Y","Y","","",0,0,0,"Yes","0:51",1,NA,NA,1,NA,NA,1,NA,NA,NA,51,6003,"Chain",462789,4021,96566,0.20866096,432793,361075,58174,4021,2,"West",0.834290295822714,1,0
"31",146,"Walgreen Drug Store","AZ","Pinal County","Y","Y","on lunch break","Y",0,0,0,"Yes","1:30",1,NA,NA,1,NA,NA,1,NA,NA,NA,90,146,"Chain",462789,4021,96566,0.20866096,432793,361075,58174,4021,2,"West",0.834290295822714,1,0
"32",5944,"Walgreen Drug Store","AZ","Pinal County","Y","Y","","",0,0,0,"Yes","1:43",1,NA,NA,1,NA,NA,1,NA,NA,NA,103,5944,"Chain",462789,4021,96566,0.20866096,432793,361075,58174,4021,2,"West",0.834290295822714,1,0
"33",7539,"CVS/Pharmacy","AZ","Yavapai County","Y","Y","","",0,0,0,"Yes","1:47",1,NA,NA,1,NA,NA,1,NA,NA,NA,107,7539,"Chain",235099,4025,76438,0.32513112,228067,213934,52451,4025,4,"West",0.9380313679752,1,0
"34",5978,"Wal-Mart Discount Pharmacy","AZ","Yavapai County","Y","Y","","",0,0,0,"Yes","0:50",1,NA,NA,1,NA,NA,1,NA,NA,NA,50,5978,"Chain",235099,4025,76438,0.32513112,228067,213934,52451,4025,4,"West",0.9380313679752,1,0
"35",8629,"Brookshire Pharmacy Dept.","AR","Ashley County","Y","Y","","",0,0,0,"Yes","0:20",1,NA,NA,1,NA,NA,1,NA,NA,NA,20,8629,"Chain",19657,5003,4116,0.20939106,20270,14817,44744,5003,6,"South",0.730981746423286,0,0
"36",9415,"Harp's Pharmacy Dept.","AR","Carroll County","Y","Y","","",0,0,0,"Yes","0:55",1,NA,NA,1,NA,NA,1,"I have just one shot left of the high-dose",NA,NA,55,9415,"Chain",28380,5015,6772,0.23861875,27965,26309,46110,5015,6,"South",0.940783121759342,0,0
"37",2167,"Mitchell's Park Street Pharmacy","AR","Izard County","Y","Y","","",0,0,0,"Yes","0:10",1,NA,NA,1,NA,NA,1,"We're not letting ppl in the store - she'll need to drive up and bring her Medicare card",NA,NA,10,2167,"Independent",13629,5065,3558,0.26106098,13570,13103,42876,5065,6,"South",0.965585851142226,0,0
"38",1497,"Wal-Mart Discount Pharmacy","AR","Logan County","Y","Y","","",0,0,0,"Yes","0:51",1,NA,NA,1,NA,NA,1,NA,NA,NA,51,1497,"Chain",21466,5083,4396,0.20478897,21668,20453,41466,5083,6,"South",0.943926527598302,0,0
"39",1377,"Wal-Mart Discount Pharmacy","AR","Sharp County","Y","Y","","",0,0,0,"Yes","1:40",1,NA,NA,1,NA,NA,1,NA,NA,NA,100,1377,"Chain",17442,5135,4604,0.26396054,17139,16844,34671,5135,6,"South",0.982787793920299,0,0
"40",1487,"Fairfield Bay Pharmacy","AR","Van Buren County","Y","Y","said to call back later","Y",0,0,0,"Yes","0:05",1,NA,NA,1,"Yes but you really shouldn't get shingles and flu at same time, and I also recommend getting shingles at a time when you can recover because you may feel sore and sick the next day",NA,1,NA,NA,NA,5,1487,"Independent",16545,5141,4416,0.26690844,16642,16183,38499,5141,6,"South",0.972419180386973,0,0
"41",3287,"Rite Aid Discount Pharmacy","CA","El Dorado County","Y","Y","","",0,0,0,"Yes","1:10",1,NA,NA,1,NA,NA,1,NA,NA,NA,70,3287,"Chain",192843,6017,42304,0.21937016,188563,172049,83377,6017,2,"West",0.912421843097532,1,0
"42",6102,"Rite Aid Discount Pharmacy","CA","Lake County","Y","Y","","",0,0,0,"Yes","2:40",1,NA,NA,1,NA,NA,0,NA,"We won't get any more since we already got our 5 shipments and used them up","Is she pretty healthy? If so, the regular is better than nothing",160,6102,"Chain",64386,6033,14849,0.23062468,64195,51492,47040,6033,5,"West",0.802118545058026,0,0
"43",9464,"CVS/Pharmacy","CA","Marin County","Y","Y","no reg","",0,0,0,"Yes","3:00",1,NA,NA,0,NA,NA,1,NA,NA,NA,180,9464,"Chain",258826,6041,59404,0.22951326,259943,214243,115246,6041,2,"West",0.824192226757405,1,0
"44",8535,"Save Mart Pharmacy Dept.","CA","Nevada County","Y","Y","","",0,0,0,"Yes","0:30",1,"We do have a few left but we only do those on Mondays",NA,1,NA,NA,1,NA,NA,NA,30,8535,"Chain",99755,6057,28306,0.28375521,99244,95406,66096,6057,5,"West",0.96132763693523,0,0
"45",8368,"Costco Pharmacy Dept.","CA","San Luis Obispo County","Y","Y","","",0,0,0,"Yes","0:27",1,NA,NA,1,NA,NA,1,"Yes but you should know that they don't recommend getting the shingles shot and the senior flu shot at the same time - they recommend a month in between",NA,NA,27,8368,"Chain",283111,6079,59051,0.20857897,282165,250202,73518,6079,3,"West",0.886722307869509,1,0
"46",8252,"Sebastopol Family Pharmacy","CA","Sonoma County","Y","Y","","",0,0,0,"Yes","0:05",1,NA,NA,1,NA,NA,0,NA,NA,"CDC says everyone should get a flu shot; unless Dr. says she really needs high dose she can get regular",5,8252,"Independent",494336,6097,102323,0.20699079,499772,396801,81018,6097,3,"West",0.793964047605708,1,0
"47",5075,"Lucky Pharmacy Dept.","CA","Sonoma County","Y","Y","","",0,0,0,"Yes","0:42",1,NA,NA,1,NA,NA,1,NA,NA,NA,42,5075,"Chain",494336,6097,102323,0.20699079,499772,396801,81018,6097,3,"West",0.793964047605708,1,0
"48",577,"Safeway Pharmacy Dept.","CA","Sonoma County","Y","N","said to call back in 10 min","first callback",0,0,1,"Yes","1:10",1,NA,NA,1,NA,NA,1,NA,NA,NA,70,577,"Chain",494336,6097,102323,0.20699079,499772,396801,81018,6097,3,"West",0.793964047605708,1,0
"49",8833,"CVS/Pharmacy","CA","Sonoma County","Y","Y","no reg","",0,0,0,"Yes","5:00",1,NA,NA,0,NA,"We only have the high-dose",1,NA,NA,NA,300,8833,"Chain",494336,6097,102323,0.20699079,499772,396801,81018,6097,3,"West",0.793964047605708,1,0
"50",3967,"CVS/Pharmacy","CA","Trinity County","Y","Y","","",0,0,0,"Yes","1:58",1,NA,NA,0,NA,NA,0,NA,NA,"We should be getting more later this week but we're not sure when",118,3967,"Chain",12285,6105,3475,0.28286529,12700,11160,40846,6105,6,"West",0.878740157480315,0,0
"51",1689,"City Market Pharmacy Dept.","CO","Archuleta County","Y","Y","","",0,0,0,"Yes","2:02",1,NA,NA,1,NA,NA,1,NA,NA,NA,122,1689,"Chain",14029,8007,3834,0.27329105,13253,11300,52221,8007,6,"West",0.852637138761035,0,0
"52",766,"Harris Pharmacy","CO","Otero County","Y","Y","","",0,0,0,"Yes","0:18",1,NA,NA,1,NA,NA,1,NA,NA,NA,18,766,"Independent",18278,8089,3780,0.20680599,18282,17011,38169,8089,6,"West",0.930478065857127,0,0
"53",5334,"City Market Pharmacy Dept.","CO","Teller County","Y","N","call wouldn't connect","",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5334,"Chain",25388,8119,5888,0.23192059,24524,23873,66592,8119,3,"West",0.973454575110096,1,1
"54",3448,"CVS/Pharmacy","CT","Litchfield County","Y","Y","","",0,0,0,"Yes","1:30",1,NA,NA,1,NA,NA,1,NA,NA,NA,90,3448,"Chain",180333,9005,39654,0.2198932,182002,172243,79906,9005,5,"Northeast",0.946379710113076,0,0
"55",9405,"Walgreen Drug Store","CT","Litchfield County","Y","Y","","",0,0,0,"Yes","5:00",1,NA,NA,0,NA,NA,1,NA,NA,NA,300,9405,"Chain",180333,9005,39654,0.2198932,182002,172243,79906,9005,5,"Northeast",0.946379710113076,0,0
"56",4478,"Stop & Shop Pharmacy Dept.","CT","Litchfield County","Y","Y","","",0,0,0,"Yes","1:05",1,NA,NA,1,NA,NA,1,NA,NA,NA,65,4478,"Chain",180333,9005,39654,0.2198932,182002,172243,79906,9005,5,"Northeast",0.946379710113076,0,0
"57",2573,"Giant Pharmacy Dept.","DE","Sussex County","Y","Y","","",0,0,0,"Yes","0:30",1,NA,NA,1,"Immediately picked up phone and said ""would you like to schedule a flu shot""",NA,1,NA,NA,NA,30,2573,"Chain",234225,10005,67322,0.28742447,224384,188360,63162,10005,3,"South",0.839453793496863,1,0
"58",6342,"Rite Aid Discount Pharmacy","DE","Sussex County","Y","Y","no HD","",0,0,0,"Yes","2:53",1,NA,NA,1,NA,NA,0,NA,NA,"Does she have any conditions? (listed: cancer, kidney, transplant, etc.) if not, she can get regular",173,6342,"Chain",234225,10005,67322,0.28742447,224384,188360,63162,10005,3,"South",0.839453793496863,1,0
"59",974,"Winn-Dixie Pharmacy Dept.","FL","Brevard County","Y","Y","","",0,0,0,"Yes","1:05",1,"Yes between 9am and 3pm",NA,1,NA,NA,1,NA,NA,NA,65,974,"Chain",601942,12009,145752,0.24213628,585507,501102,56775,12009,3,"South",0.855842884884382,1,0
"60",1296,"Publix Pharmacy Dept.","FL","Brevard County","Y","Y","","",0,0,0,"Yes","1:05",1,NA,NA,1,NA,NA,1,NA,NA,NA,65,1296,"Chain",601942,12009,145752,0.24213628,585507,501102,56775,12009,3,"South",0.855842884884382,1,0
"61",1971,"Walgreen Drug Store","FL","Brevard County","Y","Y","","",0,0,0,"Yes","2:15",1,NA,NA,1,NA,NA,1,NA,NA,NA,135,1971,"Chain",601942,12009,145752,0.24213628,585507,501102,56775,12009,3,"South",0.855842884884382,1,0
"62",7753,"Sam's Club Pharmacy Dept.","FL","Brevard County","Y","Y","","",0,0,0,"Yes","1:01",1,NA,NA,1,NA,NA,1,NA,NA,NA,61,7753,"Chain",601942,12009,145752,0.24213628,585507,501102,56775,12009,3,"South",0.855842884884382,1,0
"63",1655,"Winn-Dixie Pharmacy Dept.","FL","Charlotte County","Y","Y","","",0,0,0,"Yes","1:15",1,"Yes but needs to get it as soon as possible - we just got one box in today but we were out of stock for 4-5 weeks before and don't know when we'd get more",NA,1,NA,NA,1,NA,NA,NA,75,1655,"Chain",188910,12015,77072,0.40798265,181067,165627,51499,12015,4,"South",0.914727697482147,1,0
"64",3890,"Walgreen Drug Store","FL","Charlotte County","Y","Y","","",0,0,0,"Yes","1:40",1,"Yes but you do have to make an appointment",NA,1,NA,NA,1,NA,NA,NA,100,3890,"Chain",188910,12015,77072,0.40798265,181067,165627,51499,12015,4,"South",0.914727697482147,1,0
"65",1932,"Publix Pharmacy Dept.","FL","Charlotte County","Y","Y","","",0,0,0,"Yes","1:26",0,NA,"Should be getting more tomorrow - wouldn't be available until noon though",1,NA,NA,1,NA,NA,NA,86,1932,"Chain",188910,12015,77072,0.40798265,181067,165627,51499,12015,4,"South",0.914727697482147,1,0
"66",7523,"Citrus Discount Pharmacy","FL","Citrus County","Y","Y","","",0,0,0,"Yes","0:05",0,NA,"No we don't have that available right now",1,NA,NA,1,NA,NA,NA,5,7523,"Independent",149657,12017,54938,0.36709276,145169,136968,44237,12017,4,"South",0.943507222616399,1,0
"67",9035,"CVS/Pharmacy","FL","Collier County","Y","Y","","",0,0,0,"Yes","1:40",1,NA,NA,1,NA,NA,1,NA,NA,NA,100,9035,"Chain",384902,12021,126707,0.32919288,371453,334072,69653,12021,3,"South",0.899365464809814,1,0
"68",799,"Walgreen Drug Store","FL","Collier County","Y","Y","","",0,0,0,"Yes","3:20",1,NA,NA,1,NA,NA,1,NA,NA,NA,200,799,"Chain",384902,12021,126707,0.32919288,371453,334072,69653,12021,3,"South",0.899365464809814,1,0
"69",2238,"Publix Pharmacy Dept.","FL","Collier County","Y","Y","","",0,0,0,"Yes","1:36",1,NA,NA,1,NA,NA,1,NA,NA,NA,96,2238,"Chain",384902,12021,126707,0.32919288,371453,334072,69653,12021,3,"South",0.899365464809814,1,0
"70",2264,"CVS/Pharmacy","FL","Hernando County","Y","Y","Wait too long; will have to call back","Y",0,0,0,"Yes","4:15",1,NA,NA,1,NA,NA,1,NA,NA,NA,255,2264,"Chain",193920,12053,53348,0.27510312,186313,169872,48812,12053,2,"South",0.911756023465888,1,0
"71",2948,"Bay Street Pharmacy","FL","Indian River County","Y","Y","","",0,0,0,"Yes","0:05",1,NA,NA,1,NA,NA,1,NA,NA,NA,5,2948,"Independent",159923,12061,54133,0.33849415,153989,136180,54740,12061,4,"South",0.884348882063005,1,0
"72",1101,"Wal-Mart Discount Pharmacy","FL","Indian River County","Y","Y","","",0,0,0,"Yes","3:52",1,"Come in the morning at 9am - we're backed up in the afternoons",NA,1,NA,NA,1,NA,NA,NA,232,1101,"Chain",159923,12061,54133,0.33849415,153989,136180,54740,12061,4,"South",0.884348882063005,1,0
"73",2446,"Corey's Pharmacy","FL","Indian River County","Y","Y","no vax; said they're not doing vaccines right now but they will in the near future and they recommend trying Publix","",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2446,"Independent",159923,12061,54133,0.33849415,153989,136180,54740,12061,4,"South",0.884348882063005,1,2
"74",8679,"Walgreen Drug Store","FL","Indian River County","Y","Y","","",0,0,0,"Yes","0:50",1,NA,NA,1,NA,NA,1,NA,NA,NA,50,8679,"Chain",159923,12061,54133,0.33849415,153989,136180,54740,12061,4,"South",0.884348882063005,1,0
"75",4505,"Walgreen Drug Store","FL","Lake County","Y","Y","","",0,0,0,"Yes","1:23",1,"Yes but we don't have a vaccinating pharmacist in right now",NA,1,NA,NA,1,"Yes anyone over 60 automatically gets the senior",NA,NA,83,4505,"Chain",367118,12069,99386,0.2707195,345867,291861,54513,12069,2,"South",0.843853273078958,1,0
"76",4570,"Publix Pharmacy Dept.","FL","Lake County","Y","Y","","",0,0,0,"Yes","1:20",1,NA,NA,1,NA,NA,1,NA,NA,NA,80,4570,"Chain",367118,12069,99386,0.2707195,345867,291861,54513,12069,2,"South",0.843853273078958,1,0
"77",7510,"Winn-Dixie Pharmacy Dept.","FL","Lake County","Y","Y","","",0,0,0,"Yes","0:50",1,NA,NA,1,NA,NA,1,"Oh, yes - that's the great majority of what we do in this location",NA,NA,50,7510,"Chain",367118,12069,99386,0.2707195,345867,291861,54513,12069,2,"South",0.843853273078958,1,0
"78",1596,"Wal-Mart Discount Pharmacy","FL","Lake County","Y","Y","","",0,0,0,"Yes","0:46",1,NA,NA,1,NA,NA,1,NA,NA,NA,46,1596,"Chain",367118,12069,99386,0.2707195,345867,291861,54513,12069,2,"South",0.843853273078958,1,0
"79",5319,"Publix Pharmacy Dept.","FL","Lee County","Y","Y","","",0,0,0,"Yes","1:02",1,NA,NA,1,NA,NA,1,NA,NA,NA,62,5319,"Chain",770577,12071,224632,0.29151142,737468,633784,57832,12071,3,"South",0.859405425048951,1,0
"80",4187,"Lehigh Pharmacy","FL","Lee County","Y","Y","no HD","",0,0,0,"Yes","0:05",1,NA,NA,1,NA,NA,0,NA,NA,"It's really hard to get - she could come in and just get shingles and keep searching for high-dose. If they say they have it she should get it right away there. We had to wait weeks last time we put an order in",5,4187,"Independent",770577,12071,224632,0.29151142,737468,633784,57832,12071,3,"South",0.859405425048951,1,0
"81",5270,"Walgreen Drug Store","FL","Lee County","Y","Y","","",0,0,0,"Yes","2:39",1,NA,NA,1,NA,NA,1,NA,NA,NA,159,5270,"Chain",770577,12071,224632,0.29151142,737468,633784,57832,12071,3,"South",0.859405425048951,1,0
"82",8897,"Acres Pharmacy","FL","Lee County","Y","N","no vax","",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8897,"Independent",770577,12071,224632,0.29151142,737468,633784,57832,12071,3,"South",0.859405425048951,1,2
"83",1026,"Walgreen Drug Store","FL","Lee County","Y","Y","","",0,0,0,"Yes","3:09",1,NA,NA,1,NA,NA,1,NA,NA,NA,189,1026,"Chain",770577,12071,224632,0.29151142,737468,633784,57832,12071,3,"South",0.859405425048951,1,0
"84",200,"CVS/Pharmacy","FL","Lee County","Y","N","5 min wait","Y",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,"Chain",770577,12071,224632,0.29151142,737468,633784,57832,12071,3,"South",0.859405425048951,1,3
"85",6700,"Island Pharmacy","FL","Lee County","Y","Y","can only give it to her but nod administer it there","",0,0,0,"Yes","0:10",1,NA,NA,0,NA,NA,0,NA,NA,"We don't administer it here - she could order it and then we'd get it in and she'd take it to her doctor. Alternatively, Dr. Wilson could do it (?)",10,6700,"Independent",770577,12071,224632,0.29151142,737468,633784,57832,12071,3,"South",0.859405425048951,1,0
"86",6462,"CVS/Target Pharmacy Dept.","FL","Lee County","Y","Y","","",0,0,0,"Yes","2:42",1,NA,NA,1,NA,NA,1,NA,NA,NA,162,6462,"Chain",770577,12071,224632,0.29151142,737468,633784,57832,12071,3,"South",0.859405425048951,1,0
"87",7167,"Publix Pharmacy Dept.","FL","Manatee County","Y","Y","","",0,0,0,"Yes","3:29",1,NA,NA,1,NA,NA,1,NA,NA,NA,209,7167,"Chain",403253,12081,113157,0.28061044,384213,334748,59009,12081,3,"South",0.871256308349796,1,0
"88",987,"CVS/Pharmacy","FL","Manatee County","Y","Y","","",0,0,0,"Yes","3:30",1,NA,NA,1,NA,NA,1,NA,NA,NA,210,987,"Chain",403253,12081,113157,0.28061044,384213,334748,59009,12081,3,"South",0.871256308349796,1,0
"89",3510,"Reddick Discount Pharmacy","FL","Marion County","Y","Y","no vax; we don't have any vaccinations right now but we are working on that","",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3510,"Independent",365579,12083,106675,0.2917974,353526,296758,45371,12083,3,"South",0.839423408745043,1,2
"90",6896,"Seventeenth Street Discount Pharmacy","FL","Marion County","Y","N","no vax","",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6896,"Independent",365579,12083,106675,0.2917974,353526,296758,45371,12083,3,"South",0.839423408745043,1,2
"91",5608,"Walgreen Drug Store","FL","Marion County","Y","Y","","",0,0,0,"Yes","1:26",1,NA,NA,1,NA,NA,1,NA,NA,NA,86,5608,"Chain",365579,12083,106675,0.2917974,353526,296758,45371,12083,3,"South",0.839423408745043,1,0
"92",1359,"Publix Pharmacy Dept.","FL","Monroe County","Y","Y","","",0,0,0,"Yes","1:03",1,NA,NA,1,NA,NA,1,NA,NA,NA,63,1359,"Chain",74228,12087,17628,0.2374845,75798,67563,70033,12087,5,"South",0.891355972453099,0,0
"93",8472,"Harris Teeter Pharmacy Dept.","FL","Nassau County","Y","Y","","",0,0,0,"Yes","2:23",1,NA,NA,1,NA,NA,1,NA,NA,NA,143,8472,"Chain",88625,12089,20231,0.22827645,83098,76021,69943,12089,2,"South",0.91483549543912,1,0
"94",2915,"Publix Pharmacy Dept.","FL","Palm Beach County","Y","Y","No one was available first time; called again next day","",0,0,0,"Yes","1:08",1,"Asked about first or second; I said first and she said yes",NA,1,NA,NA,1,"Come anytime after 5pm",NA,NA,68,2915,"Chain",1496770,12099,364544,0.24355379,1465027,1104610,63299,12099,2,"South",0.75398610401037,1,0
